ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"185.47.48.109","elite","AS48359","IR","Hesabgar Pardaz Gharb PJSC","102","Hesabgar T","1025","socks4","989","1","2024-05-23T05:51:34.591Z","97","6860","7056"
"150.158.135.201","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","195","Tencent Cloud Computing (Beijing) Co., Ltd","24289","socks5","1615","85","2024-05-23T05:51:29.794Z","73","5175","7106"
"37.25.127.85","elite","AS31272","UA","WildPark Co","59","WildPark Co","1080","socks4","1287","1","2024-05-23T05:51:25.095Z","59","4218","7111"
"189.91.85.133","elite","AS17222","BR","Mundivox Do Brasil Ltda","203","Mundivox Do Brasil Ltda","31337","socks4","1092","1","2024-05-23T05:51:25.097Z","98","372","380"
"75.119.205.50","elite","AS26347","US","New Dream Network, LLC","144","New Dream Network, LLC","51833","socks5","2003","1","2024-05-23T05:51:24.005Z","62","4367","6995"
"5.9.144.19","elite","AS24940","DE","Hetzner Online GmbH","90","Hetzner","24940","socks5","2506","1","2024-05-23T05:51:23.689Z","86","6064","7070"
"38.41.53.149","elite","AS208972","TR","Gibirnet Iletisim Hizmetleri Sanayi VE Ticaret Limited Sirketi","84","Gibirnet Iletisim Hizmetleri Sanayi VE Ticaret Limited Sirketi","5678","socks4","2699","1","2024-05-23T05:51:22.506Z","98","193","196"
"95.140.126.82","elite","AS9125","RS","Drustvo za telekomunikacije Orion telekom doo Beograd-Zemun","82","Milsped","1080","socks4","2301","2","2024-05-23T05:51:22.592Z","100","7173","7204"
"200.111.249.195","transparent","AS27651","CL","Entel Chile S.A.","227","Entel Chile S.A","999","http","3097","23082","2024-05-23T05:51:22.904Z","100","5","5"
"189.201.191.67","elite","AS28438","MX","IP Matrix, S.A. de C.V.","137","IP Matrix, S.A. de C.V","4145","socks4","2898","1","2024-05-23T05:51:22.505Z","99","7073","7142"
"103.114.52.130","transparent","AS137349","ID","Proxy-registered","347","N/A","8080","http","3097","20000","2024-05-23T05:51:19.404Z","57","8","14"
"129.205.244.158","elite","AS37678","BW","BOTSWANA FIBRE NETWORKS (Proprietary) Limited","187","BOTSWANA FIBRE NETWORKS (Proprietary) Limited","1080","socks4","3495","1","2024-05-23T05:51:19.399Z","99","379","382"
"45.4.201.99","transparent","AS263238","EC","Eliana Vanessa Morocho Oña","162","Eliana Vanessa Morocho Oña","999","http","4595","22094","2024-05-23T05:51:18.096Z","100","5","5"
"202.159.35.25","elite","AS9340","ID","PT IndoInternet","400","N/A","443","socks4","3405","1","2024-05-23T05:51:18.689Z","98","7002","7140"
"14.34.137.10","elite","AS4766","KR","Korea Telecom","280","Kornet","3128","socks4","4391","1","2024-05-23T05:51:17.294Z","100","7076","7096"
"91.106.90.134","elite","AS56503","IR","PJSC \"Badr Rayan Jonoob\"","109","Kimianet Bandar","4145","socks4","3989","3","2024-05-23T05:51:16.392Z","96","6801","7082"
"64.202.185.19","elite","AS398101","US","GoDaddy.com, LLC","137","GoDaddy.com, LLC","1822","socks4","3992","1","2024-05-23T05:51:15.991Z","47","83","176"
"185.39.71.197","elite","AS62332","ES","Telplay","118","Telplay SL","46610","socks4","71","1","2024-05-23T05:51:12.791Z","82","5823","7069"
"71.227.88.166","elite","AS33668","US","Comcast Cable Communications, LLC","192","Comcast Cable Communications, Inc.","16913","socks4","2398","3","2024-05-23T05:51:07.094Z","76","5500","7200"
"103.212.93.254","elite","AS138312","IN","Best Telnet Services Private Limited","109","Best telnet services private limited","45639","socks4","3222","1","2024-05-23T05:51:07.799Z","99","6998","7074"
"43.134.230.122","elite","AS132203","SG","Aceville Pte.ltd","246","N/A","443","socks4","1889","84","2024-05-23T05:51:07.801Z","92","6568","7130"
"207.244.255.174","elite","N/A","US","Nubes, LLC","105","N/A","58971","socks5","3195","2","2024-05-23T05:51:06.894Z","98","408","416"
"222.65.197.192","elite","AS4812","CN","CHINANET-SH","183","N/A","4812","socks4","3202","1","2024-05-23T05:51:05.699Z","10","680","7071"
"103.228.246.30","elite","AS59282","ID","PT Giga Patra Multimedia","338","GPM","5678","socks4","3798","2","2024-05-23T05:51:05.701Z","98","6951","7113"
"203.24.109.130","elite","AS209242","BZ","Cloudflare London, LLC","2","Umpire Associates LTD","80","socks5","3885","2","2024-05-23T05:51:03.906Z","100","7072","7072"
"103.47.93.196","elite","AS134058","IN","Broban Internet Services Pvt.ltd","146","Broban  PVT Ltd.","1080","socks4","2091","1","2024-05-23T05:50:59.708Z","99","7187","7250"
"51.81.89.146","elite","AS16276","US","OVH SAS","81","OVH US LLC","50605","socks5","72","2","2024-05-23T05:50:59.800Z","96","6826","7105"
"185.32.4.110","elite","AS60645","PL","AS Consulting Sp. z o. o.","43","Core Network Fiber","4153","socks4","3016","1","2024-05-23T05:50:53.688Z","98","409","416"
"185.143.234.28","elite","AS205585","IR","Noyan Abr Arvan Co. ( Private Joint Stock)","13","Anycast","8080","socks4","66","1","2024-05-23T05:50:53.603Z","98","6749","6906"
"202.40.179.18","elite","AS23991","BD","Ranks ITT","298","Ranks ITT Ltd.","4145","socks4","1784","3","2024-05-23T05:50:53.698Z","86","318","369"
"77.89.196.202","elite","AS25454","MD","Orange Moldova Network","83","N/A","4153","socks4","71","2","2024-05-23T05:50:53.692Z","100","7112","7141"
"159.89.138.130","elite","AS14061","US","DigitalOcean, LLC","187","Digital Ocean","80","socks4","3695","1","2024-05-23T05:50:53.694Z","100","7013","7020"
"46.231.72.35","elite","AS34093","CZ","NWT","30","N/A","5678","socks4","1106","86","2024-05-23T05:50:53.697Z","97","395","408"
"172.104.67.157","elite","AS63949","JP","Akamai Technologies","265","Linode","9050","socks5","70","2","2024-05-23T05:50:50.094Z","93","6525","7024"
"211.137.33.22","elite","AS56044","CN","China Mobile communications corporation","392","China Mobile Communications Corporation","80","socks5","71","4","2024-05-23T05:50:50.096Z","90","6408","7088"
"103.79.96.217","elite","AS64308","ID","PT IndoDev Niaga Internet","333","PT IndoDev Niaga Internet","4153","socks4","2389","1","2024-05-23T05:50:49.793Z","99","7014","7077"
"51.159.105.70","elite","AS12876","FR","SCALEWAY","1","ONLINE","8080","socks5","75","2","2024-05-23T05:50:49.798Z","100","7132","7133"
"103.66.233.141","elite","AS134014","IN","NET 4 U SERVICES","166","N/A","4145","socks4","4587","1","2024-05-23T05:50:49.802Z","85","5971","7056"
"178.128.49.205","elite","AS14061","SG","DigitalOcean, LLC","297","Digitalocean","80","socks4","72","78","2024-05-23T05:50:49.795Z","100","7041","7073"
"81.150.169.217","elite","AS2856","GB","BT Public Internet Service","82","N/A","5678","socks4","2913","1","2024-05-23T05:50:49.801Z","100","7114","7130"
"132.226.7.23","elite","AS31898","JP","Oracle Corporation","234","Oracle Cloud Infrastructure (ap-tokyo-1)","30277","socks4","2605","1","2024-05-23T05:50:49.796Z","30","2157","7158"
"27.147.221.140","elite","AS23688","BD","Link3 Technologies Limited","282","Retail Subscriber","5678","socks4","2199","1","2024-05-23T05:50:49.707Z","74","56","76"
"195.138.73.54","elite","N/A","UA","TeNeT Networking Centre","51","N/A","31145","socks4","1111","2","2024-05-23T05:50:45.091Z","82","45","55"
"177.184.72.22","elite","AS52898","BR","Multipla Serviços Inteligentes","187","Multipla Serviços Inteligentes","4145","socks5","69","2","2024-05-23T05:50:45.089Z","99","7028","7105"
"173.212.206.86","elite","AS51167","DE","Contabo GmbH","82","Contabo GmbH","55405","socks5","71","1","2024-05-23T05:50:45.492Z","100","6964","6971"
"168.205.217.140","elite","AS264869","BR","SPEED MAX TELECOMUNICAÇÕES LTDA ME","283","SPEED MAX TELECOMUNICAÇÕES LTDA ME","4145","socks4","4691","1","2024-05-23T05:50:45.396Z","85","6106","7151"
